"","feelings_life","income_family","own_rent","average_hours_worked","income_1","income_2","income_3","income_4","income_5","income_6","own","rent","idk","work_hours_1","work_hours_2","work_hours_3","work_hours_4","work_hours_5","work_hours_6"
"1",8,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"2",10,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","50.1 hours and more",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"3",8,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"4",10,"$100,000 to $ 124,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"5",8,"$50,000 to $74,999","Rented, even if no cash rent is paid","30.0 to 40.0 hours",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"6",9,"$50,000 to $74,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"7",4,"Less than $25,000","Rented, even if no cash rent is paid","Don't know",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"8",10,"Less than $25,000","Rented, even if no cash rent is paid","Don't know",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"9",8,"Less than $25,000","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"10",5,"Less than $25,000","Owned by you or a member of this household, even if it i...","Don't know",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"11",10,"Less than $25,000","Owned by you or a member of this household, even if it i...","0.1 to 29.9 hours",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"12",6,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","50.1 hours and more",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"13",6,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","Don't know",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"14",10,"$75,000 to $99,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"15",6,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","Don't know",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"16",9,"$25,000 to $49,999","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"17",9,"$125,000 and more","Owned by you or a member of this household, even if it i...","30.0 to 40.0 hours",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"18",8,"$75,000 to $99,999","Rented, even if no cash rent is paid","40.1 to 50.0 hours",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
